Vehicle_Brand,Vehicle_Model,Year_of_Manufacture,Mileage,Type_of_Service,Service_Date,scheduled,reliability
BMW,3 Series,2015,4813,Cooling System Repairs,2021-11-03,1,1
BMW,X3,2015,4669,Engine Diagnostics/Repair/Replacement,2016-10-31,0,1
Nissan,Sentra,2012,6288,Cooling System Repairs,2013-04-20,0,0
Toyota,Corolla,2011,6698,Brake System Repairs,2011-04-05,0,0
Volkswagen,Tiguan,2013,5728,Transmission Diagnostics/Repair/Replacement,2022-07-25,1,1
Audi,A6,2015,4679,Wear-and-Tear Replacements,2021-06-08,1,1
Ford,Escape,2013,5923,Engine Diagnostics/Repair/Replacement,2015-03-13,1,0
BMW,3 Series,2020,2046,Routine Maintenance Services,2023-04-18,0,0
BMW,3 Series,2017,3611,Wear-and-Tear Replacements,2022-09-14,1,1
Mercedes-Benz,C-Class,2019,2709,Wear-and-Tear Replacements,2023-01-12,0,0
Nissan,Altima,2020,2316,Transmission Diagnostics/Repair/Replacement,2020-12-14,0,1
Chevrolet,Traverse,2018,3299,Transmission Diagnostics/Repair/Replacement,2023-08-06,0,1
Ford,Escape,2011,6897,Brake System Repairs,2014-05-04,0,0
Mercedes-Benz,E-Class,2019,2665,Multiple Unscheduled Repairs,2023-03-23,0,1
Nissan,Altima,2014,5281,Engine Diagnostics/Repair/Replacement,2014-12-02,0,1
Nissan,Altima,2017,3952,Multiple Unscheduled Repairs,2019-06-07,0,0
Chevrolet,Traverse,2017,3716,Multiple Unscheduled Repairs,2022-10-02,0,1
BMW,3 Series,2020,2156,Cooling System Repairs,2023-02-20,0,0
Volkswagen,Jetta,2016,4331,Multiple Unscheduled Repairs,2021-03-06,0,1
Ford,Explorer,2015,4958,Brake System Repairs,2018-03-25,0,1
Honda,Accord,2010,7351,Electrical System Repairs,2016-08-22,0,0
Volkswagen,Passat,2015,4999,Multiple Unscheduled Repairs,2018-04-22,1,1
Honda,CR-V,2019,2902,Suspension System Repairs,2023-12-12,1,0
Mercedes-Benz,GLE,2019,2754,Electrical System Repairs,2023-08-15,0,0
Honda,CR-V,2017,3910,Multiple Unscheduled Repairs,2018-05-07,0,0
Mercedes-Benz,GLC,2011,6879,Multiple Unscheduled Repairs,2020-06-21,1,1
Audi,Q5,2014,5333,Multiple Unscheduled Repairs,2015-06-12,0,1
Nissan,Pathfinder,2016,4308,Brake System Repairs,2016-12-01,0,0
Chevrolet,Traverse,2020,2492,Wear-and-Tear Replacements,2021-07-13,1,0
Toyota,Rav4,2013,5982,Suspension System Repairs,2013-10-08,0,0
Honda,Civic,2020,2323,Multiple Unscheduled Repairs,2023-09-01,0,1
Volkswagen,Atlas,2014,5112,Wear-and-Tear Replacements,2020-07-19,1,0
Hyundai,Santa Fe,2014,5338,Suspension System Repairs,2016-01-25,1,1
Chevrolet,Silverado,2020,2078,Electrical System Repairs,2021-07-27,1,0
Volkswagen,Tiguan,2011,6567,Brake System Repairs,2019-09-20,1,1
Volkswagen,Atlas,2016,4119,Electrical System Repairs,2020-08-01,0,0
Hyundai,Sonata,2016,4412,Transmission Diagnostics/Repair/Replacement,2017-05-29,0,0
BMW,X5,2019,2939,Suspension System Repairs,2020-10-31,1,0
Volkswagen,Atlas,2012,6136,Transmission Diagnostics/Repair/Replacement,2018-02-27,0,0
Hyundai,Tucson,2013,5963,Wear-and-Tear Replacements,2015-11-25,0,0
Nissan,Sentra,2014,5242,Electrical System Repairs,2018-11-14,1,1
Nissan,Altima,2020,2321,Engine Diagnostics/Repair/Replacement,2023-04-02,1,0
Hyundai,Santa Fe,2020,2477,Cooling System Repairs,2023-01-18,0,0
Nissan,Rogue,2013,5662,Wear-and-Tear Replacements,2014-02-17,0,0
Chevrolet,Traverse,2014,5058,Electrical System Repairs,2021-02-26,0,0
Chevrolet,Malibu,2015,4907,Brake System Repairs,2016-11-18,1,0
Honda,Civic,2014,5417,Suspension System Repairs,2018-06-09,0,0
Honda,Accord,2013,5567,Multiple Unscheduled Repairs,2013-09-14,0,1
Hyundai,Santa Fe,2015,4986,Routine Maintenance Services,2015-02-12,0,0
Chevrolet,Equinox,2020,2038,Brake System Repairs,2023-10-19,0,0
Chevrolet,Traverse,2018,3011,Wear-and-Tear Replacements,2019-03-03,0,0
Hyundai,Sonata,2011,6823,Routine Maintenance Services,2021-11-14,1,1
Ford,F-150,2019,2900,Routine Maintenance Services,2020-12-23,0,1
Nissan,Rogue,2019,2962,Brake System Repairs,2019-03-04,0,1
Nissan,Altima,2017,3703,Brake System Repairs,2021-04-21,0,1
Chevrolet,Silverado,2015,4813,Transmission Diagnostics/Repair/Replacement,2020-07-20,1,0
Chevrolet,Silverado,2015,4833,Wear-and-Tear Replacements,2020-10-09,0,1
Ford,Escape,2012,6412,Engine Diagnostics/Repair/Replacement,2022-06-24,1,1
